Date,Traffic_Source,Traffic_Medium,Device_Category,Landing_Page,Users,New_Users,Sessions,Pageviews,Bounce_Rate_Pct,Avg_Session_Duration_Sec,Pages_Per_Session,Exit_Rate_Pct,Conversion_Rate_Pct,Transactions,Quantity_Sold,Revenue_KES,Cart_Abandonment_Rate_Pct,Marketing_Cost_KES,ROAS,Customer_Journey_Stage
1/3/2024,Direct,No Media,Mobile,Product_Page,516,396,552,1524,51.99,270,2.76,56.2,0.96,5,5,12368.85,85.49,0,,Retention
9/19/2024,Direct,No Media,Tablet,Category_Page,600,444,723,2523,39.79,234,3.49,43.51,3.03,22,44,41251.73,75.45,0,,Consideration
10/21/2022,Twitter,Organic,Mobile,Homepage,342,234,360,796,55.96,230,2.21,60.02,0.78,3,6,10037.63,82.74,0,,Awareness
2/5/2025,Google,Organic,Tablet,Product_Page,359,311,495,1124,58.02,231,2.27,61.42,3.69,18,18,68704.44,76.66,0,,Consideration
6/13/2022,Direct,No Media,Mobile,Category_Page,332,289,440,1016,57.73,215,2.31,51.21,0.98,4,4,11359.82,79.57,0,,Consideration
4/14/2025,Email,Newsletter,Mobile,Homepage,562,187,710,2549,47.97,282,3.59,50.78,4.3,31,93,130391.09,73.39,0,,Consideration
1/24/2023,Linkedin,Paid,Desktop,Promo_Page,599,250,636,3294,15,318,5.18,20,7.37,47,47,251378.45,61.36,28885.37,8.7,Decision
10/14/2022,Instagram,Paid,Desktop,Category_Page,184,78,220,717,42.1,228,3.26,39.29,5.52,12,12,36236.49,67.26,5034.82,7.2,Consideration
3/22/2024,Instagram,Paid,Mobile,Blog,124,33,154,273,64.56,200,1.77,56.86,0.37,1,1,2740.09,87.34,3263.33,0.84,Awareness
11/10/2022,Facebook,Paid,Desktop,Blog,522,115,689,1447,58.81,207,2.1,51.67,4,28,28,148393.74,74,18377.55,8.07,Awareness
5/5/2024,Google,Organic,Desktop,Category_Page,126,102,149,460,44.19,232,3.09,42.85,4.72,7,7,31459.29,66.69,0,,Consideration
7/3/2024,Facebook,Paid,Desktop,Homepage,465,93,553,2273,32.45,315,4.11,28,3.54,20,40,74002.39,72.11,18247.14,4.06,Consideration
3/20/2022,Direct,No Media,Desktop,Category_Page,115,103,138,534,33.17,298,3.87,30.71,4.63,6,6,30675.36,68.88,0,,Consideration
12/15/2022,Facebook,Paid,Desktop,Promo_Page,541,133,734,3332,29.39,291,4.54,28.02,8.76,64,64,275516.99,56.46,13173.32,20.91,Decision
2/7/2025,Tiktok,Paid,Mobile,Product_Page,243,193,330,997,57.44,222,3.02,50.82,0.96,3,12,8040.36,85.13,3907.63,2.06,Awareness
6/24/2024,Email,Newsletter,Mobile,Blog,370,92,480,792,66.42,163,1.65,60.83,2.05,10,10,15072.48,77.1,0,,Awareness
2/6/2023,Google,Organic,Mobile,Product_Page,593,445,790,1304,65.98,166,1.65,62.64,0.88,7,28,17113.65,87.83,0,,Consideration
10/17/2022,Google,Organic,Desktop,Homepage,503,413,622,2102,39.89,228,3.38,34.68,5.25,33,33,144862.18,70.18,0,,Consideration
9/15/2024,Email,Newsletter,Mobile,Product_Page,411,163,446,1160,59.8,251,2.6,61.65,2.66,12,24,37467.68,82.55,0,,Decision
12/23/2022,Linkedin,Paid,Mobile,Category_Page,417,175,568,1613,53.64,204,2.84,58.91,1.53,9,18,25472.96,83.69,39242.88,0.65,Consideration
6/8/2023,Tiktok,Paid,Desktop,Blog,578,453,658,1829,49.23,231,2.78,52.18,1.81,12,12,55046.02,84.44,4349.92,12.65,Awareness
11/8/2022,Tiktok,Paid,Mobile,Category_Page,585,490,833,2816,46.86,269,3.38,44.81,3.07,26,26,53689.58,75.31,7219.37,7.44,Awareness
6/6/2025,Direct,No Media,Desktop,Product_Page,317,219,375,1290,36.38,289,3.44,31.36,4.61,17,17,87439.06,70.16,0,,Retention
3/26/2024,Instagram,Paid,Tablet,Category_Page,367,101,396,946,56.4,214,2.39,61.86,2.71,11,11,33063.61,79.36,14180.7,2.33,Consideration
11/24/2024,Facebook,Paid,Desktop,Product_Page,424,153,518,1942,34.72,302,3.75,32.52,5.72,30,90,138792.01,71.97,15562.87,8.92,Consideration
7/6/2025,Google,Organic,Mobile,Category_Page,548,428,705,1403,60.03,243,1.99,52.63,1.26,9,27,34124.46,82.88,0,,Consideration
7/8/2023,Email,Newsletter,Mobile,Product_Page,554,248,590,2242,43.28,238,3.8,45.19,4.49,26,52,63279.21,74.52,0,,Decision
11/13/2022,Google,Organic,Mobile,Category_Page,442,343,613,1643,49.61,251,2.68,44.67,1.19,7,21,24669.91,88.27,0,,Consideration
9/4/2023,Direct,No Media,Mobile,Blog,96,74,124,229,77.88,162,1.85,68.68,0.2,0,0,0,89.35,0,,Awareness
6/22/2022,Facebook,Paid,Desktop,Promo_Page,77,13,98,463,15,305,4.72,20,7.75,8,16,54473.6,65,2914.01,18.69,Decision
6/29/2025,Facebook,Paid,Mobile,Category_Page,425,87,466,1104,66.31,220,2.37,65.8,0.72,3,9,7178.45,90.19,10347.3,0.69,Consideration
8/9/2022,Instagram,Paid,Desktop,Homepage,174,38,196,698,41.86,284,3.56,36.72,3.16,6,6,26923.79,79.18,4672.77,5.76,Consideration
5/22/2024,Linkedin,Paid,Mobile,Promo_Page,543,110,599,2216,44.79,282,3.7,40.57,5.72,34,68,167009.82,71.78,22704.77,7.36,Decision
6/13/2025,Instagram,Paid,Mobile,Product_Page,93,40,99,264,59.76,194,2.67,63.27,1.53,2,2,7583.65,79.26,1853.5,4.09,Consideration
3/2/2025,Google,Organic,Desktop,Category_Page,198,145,222,664,48.72,239,2.99,44.68,5,11,11,52235.88,68.74,0,,Consideration
7/20/2022,Google,Organic,Mobile,Product_Page,321,236,347,833,67.08,160,2.4,72.67,2.69,9,27,24916.84,80.46,0,,Consideration
5/8/2023,Google,Organic,Mobile,Promo_Page,483,337,546,1321,53.4,209,2.42,57.77,5.18,28,56,137285.54,69.46,0,,Decision
